Requirement_ID,Requirement,Sub_Feature_ID,Sub_Feature,Test_Case_ID,Test_Case_Name,Feature_Description,Verification_Goal,Stimuli,Test_Type,Coverage_Method,Covergroup_Binding,Assertion_Binding,Sequence_Binding,Criteria_Pass_Fail,Priority,RTL_Reference,Spec_Reference,Status
F1.8.1,取指Abort语义,F1.8,ITLB_ABORT,ITLB_ABORT_001,IFU abort no stall,L1 ITLB fetch abort semantics,Verify abort cancels TLB request no stall,ifu_abort_seq VA valid then abort,Directed,Function Coverage,coherency_sb cg_ifu_rsp,sva_abort_protocol,ifu_abort_seq,Abort clears stall TLB no pollution,P1,mmu_l1itlb.sv:50-80,IFU protocol,Active
F1.9.1,执行权限X-bit,F1.9,ITLB_X_PERM,ITLB_PERM_001,covered in F1.2.1,covered in F1.2,covered in F1.2.1,covered in F1.2.1,covered in F1.2.1,Directed,Function Coverage,covered,covered,covered,P0,covered,covered,Active
F1.10.1,SFENCE全失效,F1.10,ITLB_INV,ITLB_INV_001,IFU SFENCE all,L1 ITLB SFENCE.VMA full invalidation,Verify all TLB entries invalid after SFENCE all,tlb_inv_all_seq + ifu_random_vaddr_seq,Directed,Function Coverage,invalidation_sb cg_tlb_inv,sva_inv_done,tlb_inv_all_seq,All entries miss post-SFENCE all,P0,ct_mmu_tlboper.v:1-100,Sv39§4.2.1,Active
F1.10.2,SFENCE VA失效,F1.10,ITLB_INV,ITLB_INV_002,IFU SFENCE VA,L1 ITLB SFENCE.VMA VA-targeted invalidation,Verify only matching VPN invalid,tlb_inv_va_seq specific VPN + ifu_random_vaddr,Directed,Function Coverage,invalidation_sb cg_tlb_inv,sva_inv_done,tlb_inv_va_seq,Target VPN miss others hit,P0,ct_mmu_tlboper.v:1-100,Sv39§4.2.1,Active
F1.10.3,SFENCE VA+ASID失效,F1.10,ITLB_INV,ITLB_INV_003,IFU SFENCE VA_ASID,L1 ITLB SFENCE.VMA combined VA+ASID invalidation,Verify only matching VPN+ASID invalid,tlb_inv_va_asid_seq + cross ASID + random VA,Directed,Function Coverage,invalidation_sb cg_tlb_inv,sva_inv_done,tlb_inv_va_asid_seq,Exact match invalid others valid,P0,ct_mmu_tlboper.v:1-100,Sv39§4.2.1,Active
F1.11.1,TLBP软件探针,F1.11,ITLB_PROBE,ITLB_PROBE_001,IFU TLBP,L1 ITLB TLBP probe instruction,Verify probe returns correct entry index,tlboper_utlb commands TLBP hit/miss,Directed,Function Coverage,cg_software_ops,sva_probe_protocol,tlb_inv_va_seq,Index match or not-found flag correct,P2,mmu_l1itlb.sv:250-280,Sv39§4.5 TLBP,Active
F1.12.1,分支flush与abort同时,F1.12,ITLB_FLUSH,ITLB_FLUSH_001,IFU flush abort concurrent,L1 ITLB concurrent flush and abort,Verify abort takes priority over flush,ifu_abort_seq + rtu_yy_xx_flush simultaneous,Directed,Function Coverage,coherency_sb cg_ifu_rsp,sva_concurrent_flush,ifu_branch_flush_seq,Abort processed TLB consistent,P1,mmu_l1itlb.sv:40-80 RTU interface,Spec,Active
F2.1.1,双端口并发命中无冲突,F2.1,DTLB_DUAL_PORT,DTLB_HIT_001,LSU sanity Pipe0 4K,L1 DTLB dual-port Pipe0/1 concurrent hit,Verify parallel hit lookups no bank conflict,lsu_base_seq Pipe0 + 4K page table,Directed,Function Coverage,translation_sb cg_lsu_req,sva_dual_port,lsu_base_seq,PA[27:0] valid no stall,P0,mmu_l1dtlb.sv:80-120 mmu_l1dtlb_hit_rd.sv:1-100,Sv39§4.4,Active
F2.1.2,双端口Pipe1独立,F2.1,DTLB_DUAL_PORT,DTLB_HIT_002,LSU sanity Pipe1 4K,L1 DTLB dual-port Pipe1 independent hit,Verify Pipe1 parallel lookup orthogonal,lsu_base_seq Pipe1 + 4K page table,Directed,Function Coverage,translation_sb cg_lsu_req,sva_dual_port,lsu_base_seq,PA[27:0] valid no stall,P0,mmu_l1dtlb.sv:80-120 mmu_l1dtlb_hit_rd.sv:1-100,Sv39§4.4,Active
F2.1.3,双端口并发同VPN,F2.1,DTLB_DUAL_PORT,DTLB_CONCURRENT_001,LSU concurrent Pipe01 same VPN,L1 DTLB concurrent Pipe0/1 same-entry access,Verify no bank conflict same VPN,lsu_pipe01_concurrent_seq same VPN,Directed,Function Coverage,cg_lsu_req sva_dual_port,sva_dual_port,lsu_pipe01_concurrent_seq,Both ports deliver PA next cycle,P0,mmu_l1dtlb.sv:80-120 mmu_l1dtlb_hit_rd.sv,Sv39§4.4,Active
F2.1.4,双端口并发不同VPN,F2.1,DTLB_DUAL_PORT,DTLB_CONCURRENT_002,LSU concurrent Pipe01 random VPN,L1 DTLB concurrent Pipe0/1 different-entry stress,Verify independent lookups under stress,lsu_pipe01_concurrent_seq × 100 seed different VA,Constrained-Random,Function Coverage,cg_dtlb sva_dual_port,sva_dual_port,lsu_pipe01_concurrent_seq,Concurrent coverage statistical,P0,mmu_l1dtlb.sv mmu_l1dtlb_hit_rd.sv,Sv39§4.4,Active
F2.2.1,16-entry PLRU替换,F2.2,DTLB_PLRU,DTLB_ALLOC_001,LSU 16-entry replace,L1 DTLB 16-entry PLRU with MB_DEPTH=8,Verify entry allocation then replacement,lsu_random_vaddr_seq 16+ miss → MB alloc → refill,Directed,Function Coverage,cov_dtlb cg_scheduler,sva_replace_way,lsu_random_vaddr_seq,16-way fill then replace oldest,P0,mmu_l1dtlb.sv:1-100 mmu_l1dtlb_allocator.sv:1-100,Sv39§4.4,Active
F2.2.2,PLRU MB_DEPTH=8优先级,F2.2,DTLB_PLRU,DTLB_PLRU_001,LSU PLRU directed MB,L1 DTLB PLRU priority with MB=8 depth,Verify replacement considers MB pending status,lsu_random_vaddr_seq 8 concurrent MB + 16 entry,Directed,Function Coverage,cov_dtlb cg_scheduler,sva_replace_way,lsu_random_vaddr_seq,Evict LRU avoid pending MB entry,P0,mmu_l1dtlb_allocator.sv:1-100,Sv39§4.4,Active
F2.3.1,Miss Buffer 8深度FIFO,F2.3,DTLB_MB,DTLB_MB_001,LSU MB 8 miss,L1 DTLB MB FIFO 8-entry depth,Verify MB admission control up to 8,lsu_pipe01_concurrent_seq 8 concurrent miss,Directed,Function Coverage,sva_credit_conserv cg_scheduler,sva_credit_conserv,lsu_pipe01_concurrent_seq,MB entries 0-8 no overflow,P0,mmu_l1dtlb_mb_entry.sv:1-100,L1DTLB arch,Active
F2.3.2,MB credit 3-bit流控,F2.3,DTLB_MB,DTLB_MB_002,LSU MB credit stress,L1 DTLB MB credit flow control 3-bit width,Verify 8 max concurrent L2 requests,mmu_ptw_thrash_vseq 8 MB full × 50 seed,Constrained-Random,Function Coverage,cg_scheduler sva_credit,sva_credit_conserv,mmu_ptw_thrash_vseq,Credit conservation stall coherent,P0,mmu_l1dtlb.sv:70-100,L1DTLB arch,Active
F2.3.3,Credit=0时新miss延迟,F2.3,DTLB_MB,DTLB_CREDIT_001,LSU credit=0 stall,L1 DTLB credit exhaust stalls new miss,Verify stall when credit=0 new miss req,lsu_random_vaddr_seq credit exhausted,Directed,Function Coverage,sva_credit_conserv cg_scheduler,sva_stall_timing,lsu_random_vaddr_seq,Stall asserted until credit return,P0,mmu_l1dtlb_scheduler.sv:1-100,L1DTLB arch,Active
F2.3.4,两路credit调度公平,F2.3,DTLB_MB,DTLB_CREDIT_002,LSU credit fairness,L1 DTLB Pipe0/1 credit arbitration fairness,Verify no starvation credit allocation,lsu_pipe01_concurrent_seq × 100 seed credit contention,Constrained-Random,Function Coverage,cg_scheduler,sva_fairness,lsu_pipe01_concurrent_seq,Credit grant ratio near 1:1,P1,mmu_l1dtlb_scheduler.sv:1-100,L1DTLB arch,Active
F2.4.1,4K页面LSU翻译Pipe0,F2.4,DTLB_TRANS_4K,DTLB_HIT_001,covered in F2.1.1,covered in F2.1,covered in F2.1.1,covered in F2.1.1,covered in F2.1.1,Directed,Function Coverage,covered,covered,covered,P0,covered,covered,Active
F2.4.2,4K页面LSU翻译Pipe1,F2.4,DTLB_TRANS_4K,DTLB_HIT_002,covered in F2.1.2,covered in F2.1,covered in F2.1.2,covered in F2.1.2,covered in F2.1.2,Directed,Function Coverage,covered,covered,covered,P0,covered,covered,Active
F2.5.1,2MB巨页LSU翻译,F2.5,DTLB_HUGE_2M,DTLB_HUGE_001,LSU huge 2MB,L1 DTLB 2MB huge page data access,Verify PPN[26:10]=0 and offset<21bit preserved,lsu_huge_page_seq 2MB page,Directed,Function Coverage,translation_sb cg_huge_page,sva_giant_ppn,lsu_huge_page_seq,Offset[20:0] preserved PA correct,P1,mmu_l1dtlb.sv ct_mmu_dutlb_huge_entry.v:1-80,Sv39§4.4.1,Active
F2.5.2,2MB巨页PLRU,F2.5,DTLB_HUGE_2M,DTLB_HUGE_002,LSU huge 2MB PLRU,L1 DTLB 2MB huge page PLRU replacement,Verify PLRU on huge page entries,lsu_huge_page_seq × 2 fill 16 huge entries,Directed,Function Coverage,cg_huge_page,sva_plru_valid,lsu_huge_page_seq,16-way allocation then replace huge,P1,mmu_l1dtlb.sv ct_mmu_dutlb_huge_entry.v,Sv39§4.4.1,Active
F2.6.1,1GB巨页LSU翻译,F2.6,DTLB_HUGE_1G,DTLB_HUGE_003,LSU huge 1GB,L1 DTLB 1GB huge page data access,Verify PPN[26:0]=0 and offset<30bit preserved,lsu_huge_page_seq 1GB page,Directed,Function Coverage,translation_sb cg_huge_page,sva_giant_ppn,lsu_huge_page_seq,Offset[29:0] preserved PA correct,P1,mmu_l1dtlb.sv ct_mmu_dutlb_huge_entry.v:1-80,Sv39§4.4.1,Active
F2.7.1,读权限R-bit检查,F2.7,DTLB_R_PERM,DTLB_PERM_LD_001,LSU load R=0,L1 DTLB read permission check R-bit,Verify page fault on load to R=0 page,lsu_base_seq load to R=0 PTE,Directed,Function Coverage,translation_sb cg_lsu_rsp,sva_ld_perm,lsu_random_vaddr_seq,Return pgflt=1 deny=0,P0,mmu_l1dtlb.sv:150-180,Sv39§4.4.1,Active
F2.7.2,MXR影响读权限,F2.7,DTLB_R_PERM,DTLB_PERM_LD_002,LSU load MXR X-to-R,L1 DTLB MXR makes X readable for load,Verify load to X=1 R=0 page with MXR=1,lsu_base_seq + cp0_mxr_sum_cross load to X page,Directed,Function Coverage,translation_sb cg_cross_scenario,sva_ld_perm,lsu_random_vaddr_seq,MXR=1 makes load succeed,P0,mmu_l1dtlb.sv:150-180,Sv39§4.4.1 MXR,Active
F2.8.1,写权限W-bit检查,F2.8,DTLB_W_PERM,DTLB_PERM_ST_001,LSU store W=0,L1 DTLB write permission check W-bit,Verify page fault on store to W=0 page,lsu_base_seq store to W=0 PTE,Directed,Function Coverage,translation_sb cg_lsu_rsp,sva_st_perm,lsu_random_vaddr_seq,Return pgflt=1 deny=0,P0,mmu_l1dtlb.sv:160-190,Sv39§4.4.1,Active
F2.8.2,D-bit软硬件更新,F2.8,DTLB_W_PERM,DTLB_PERM_ST_002,LSU store D-bit update,L1 DTLB D-bit hardware update on store,Verify D=0 PTE updated to D=1 on store hit,lsu_base_seq store to D=0 page → shadow PT check,Directed,Function Coverage,invalidation_sb cg_lsu_rsp,sva_st_perm,lsu_base_seq,Shadow PT D-bit updated to 1,P0,mmu_l1dtlb.sv:160-190 ptw_mbuf.sv,Sv39§4.4.1,Active
F2.9.1,PMP deny access,F2.9,DTLB_PMP,DTLB_PMP_001,LSU PA over PMP,L1 DTLB PMP deny check,Verify deny=1 when PA exceeds PMP region,lsu_random_vaddr_seq → PA over PMP via pmp_mmu_flg,Directed,Function Coverage,sva_pmp_interface cg_pmp,sva_pmp_interface,lsu_random_vaddr_seq,mmu_lsu_access_fault=1 deny,P1,mmu_l1dtlb.sv:170-200,PMP spec,Active
F2.9.2,SysMap优先级高,F2.9,DTLB_SYSMAP,DTLB_SYSMAP_001,LSU SysMap hit,L1 DTLB SysMap precedence over TLB,Verify SysMap hit overrides TLB entry,lsu_base_seq then sysmap_region_setup_seq same PA,Directed,Function Coverage,translation_sb cg_sysmap,sva_sysmap_priority,sysmap_region_setup_seq,SysMap flag returns not TLB attr,P1,mmu_l1dtlb.sv:170-200 ct_mmu_sysmap.v,SysMap spec,Active
F2.10.1,两路信用调度序列,F2.10,DTLB_SCHED,DTLB_SCHED_001,LSU Pipe01 credit schedule,L1 DTLB Pipe0/1 credit arbitration sequence,Verify credit grant interleaving,lsu_pipe01_concurrent_seq credit allocation,Directed,Function Coverage,cg_scheduler,sva_fairness,lsu_pipe01_concurrent_seq,Credit schedule no starvation,P1,mmu_l1dtlb_scheduler.sv:1-100,L1DTLB arch,Active
F2.11.1,Abort释放stall与MB,F2.11,DTLB_ABORT,DTLB_ABORT_001,LSU abort no pollution,L1 DTLB abort semantics release stall,Verify abort clears pending stall MB entry,lsu_abort_seq pending request then abort,Directed,Function Coverage,coherency_sb cg_lsu_rsp,sva_abort_semantics,lsu_abort_seq,Abort releases stall TLB clean,P1,mmu_l1dtlb.sv:50-80,LSU protocol,Active
F2.12.1,L2 TLB Miss refill Pipe0/1,F2.12,DTLB_REFILL,DTLB_REFILL_001,LSU L2 miss refill,L1 DTLB refill from L2 TLB miss,Verify refill path updates L1 entry,lsu_random_vaddr_seq L2TLB no hit,Directed,Function Coverage,translation_sb cg_lsu_rsp,sva_l2_interface,lsu_random_vaddr_seq,Refill then hit returns correct PA,P0,mmu_l1dtlb.sv:120-160 mmu_arb.sv,Sv39 walk,Active
F2.12.2,Pipe2/STAMO并发refill,F2.12,DTLB_REFILL,DTLB_REFILL_002,LSU concurrent Pipe2 STAMO refill,L1 DTLB refill concurrent Pipe2/STAMO requests,Verify refill arbitration multi-source,mmu_concurrent_3pipe_vseq × 50 seed,Constrained-Random,Function Coverage,sva_l2_interface cg_lsu_rsp,sva_concurrent_refill,mmu_concurrent_3pipe_vseq,Refill services all ports ordered,P0,mmu_l1dtlb.sv mmu_arb.sv,Sv39 walk,Active
F2.13.1,SFENCE全失效,F2.13,DTLB_INV,DTLB_INV_001,LSU SFENCE all,L1 DTLB SFENCE.VMA full invalidation,Verify all DTLB entries invalid,tlb_inv_all_seq + lsu_random_vaddr_seq,Directed,Function Coverage,invalidation_sb cg_tlb_inv,sva_inv_done,tlb_inv_all_seq,All DTLB miss post-SFENCE all,P0,ct_mmu_tlboper.v:1-100,Sv39§4.2.1,Active
F2.13.2,SFENCE VA失效,F2.13,DTLB_INV,DTLB_INV_002,LSU SFENCE VA,L1 DTLB SFENCE.VMA VA-targeted invalidation,Verify only matching VPN invalid,tlb_inv_va_seq + lsu_random_vaddr_seq,Directed,Function Coverage,invalidation_sb cg_tlb_inv,sva_inv_done,tlb_inv_va_seq,Target VPN miss others hit,P0,ct_mmu_tlboper.v:1-100,Sv39§4.2.1,Active
F2.13.3,SFENCE ASID失效,F2.13,DTLB_INV,DTLB_INV_003,LSU SFENCE ASID,L1 DTLB SFENCE.VMA ASID-targeted invalidation,Verify matching ASID entries invalid,tlb_inv_asid_seq + lsu_random_vaddr_seq,Directed,Function Coverage,invalidation_sb cg_tlb_inv,sva_inv_done,tlb_inv_asid_seq,ASID match invalid others valid,P0,ct_mmu_tlboper.v:1-100,Sv39§4.2.1,Active
F2.13.4,SFENCE与PTW并发,F2.13,DTLB_INV,DTLB_INV_004,LSU SFENCE during walk,L1 DTLB SFENCE concurrent with PTW,Verify invalidation takes precedence over refill,mmu_sfence_during_walk_vseq × 50 seed,Constrained-Random,Function Coverage,invalidation_sb sva_concurrent,sva_concurrent_inv_walk,mmu_sfence_during_walk_vseq,SFENCE blocks refill invalidates entry,P0,ct_mmu_tlboper.v mmu_l1dtlb.sv,Sv39§4.2.1,Active
F2.14.1,STAMO原子PA通报,F2.14,DTLB_STAMO,DTLB_STAMO_001,LSU STAMO PA report,L1 DTLB STAMO atomic PA notification,Verify STAMO PA bypasses MB allocation,lsu_stamo_seq STAMO PAs,Directed,Function Coverage,cg_lsu_req,sva_stamo_protocol,lsu_stamo_seq,STAMO processed without MB block,P2,mmu_l1dtlb.sv:70-100 LSU interface,LSU spec,Active
REQ-3.0,"L2 TLB 正确完成 Sv39 地址快速转换与 RRPV 替换管理",F3.1,"ReqQ 分配与入队",TC-L2TLB-001,"test_mmu_dir_l2tlb_reqq_itlb_alloc","ITLB miss 时在 ReqQ 中分配 entry 0 并返回 credit","验证 ITLB miss 自动分配 entry 0，credit 机制正常","IFU 发 miss req，观察 ReqQ 状态","Directed","Testcase","l2tlb_reqq_cg","mmu_l2tlb_sva.a_reqq_alloc","ifu_base_seq","entry 0 valid; i_credit_return = 1","P0","mmu/rtl/mmu_l2tlb_reqq.sv L40","Sv39 §4.2.1","Planned"
REQ-3.0,"L2 TLB 正确完成 Sv39 地址快速转换与 RRPV 替换管理",F3.1,"ReqQ 分配与入队",TC-L2TLB-002,"test_mmu_dir_l2tlb_reqq_dtlb_alloc_0","DTLB miss 时在 ReqQ 中分配 entry 1-8 且通过 FFZ","验证 DTLB miss FFZ 分配,credit 计数","2-3 个背靠背 DTLB miss，观察分配序列","Directed","Testcase","l2tlb_reqq_cg","mmu_l2tlb_sva.a_reqq_dtlb_alloc","lsu_pipe01_concurrent_seq","entry 1,2,3 valid; d_credit_return","P0","mmu/rtl/mmu_l2tlb_reqq.sv L60","Sv39 §4.2","Planned"
REQ-3.0,"L2 TLB 正确完成 Sv39 地址快速转换与 RRPV 替换管理",F3.1,"ReqQ 分配与入队",TC-L2TLB-003,"test_mmu_dir_l2tlb_reqq_dtlb_alloc_full","ReqQ 满（9 entry）时不分配新 entry，新 miss 背压","验证 ReqQ 满时背压行为，credit 计数不增","50 cyc 高频 miss 构造满队","Directed","Testcase","l2tlb_reqq_cg","mmu_l2tlb_sva.a_reqq_full","lsu_back2back_seq","all 9 entries valid; no_new_credit","P0","mmu/rtl/mmu_l2tlb_reqq.sv L90","TLB Pipeline Design","Planned"
REQ-3.0,"L2 TLB 正确完成 Sv39 地址快速转换与 RRPV 替换管理",F3.2,"ReqQ 仲裁与出队",TC-L2TLB-004,"test_mmu_dir_l2tlb_reqq_arbitration_itlb_prior","ReqQ 仲裁时 ITLB entry 优于 DTLB entry","验证 FFR 优先级正确","1 ITLB req + N DTLB req 同队列，观察出队顺序","Directed","Testcase","l2tlb_reqq_cg","mmu_arb_sva.a_priority","ifu_random_vaddr_seq + lsu_base_seq","ITLB req issued first","P0","mmu/rtl/mmu_l2tlb_reqq.sv L110","TLB Architecture","Planned"
REQ-3.0,"L2 TLB 正确完成 Sv39 地址快速转换与 RRPV 替换管理",F3.2,"ReqQ 仲裁与出队",TC-L2TLB-005,"test_mmu_dir_l2tlb_reqq_arbitration_fifo","DTLB entry 内部按固定优先级（entry1 > ... > 8）出队","验证 FIFO + 优先级仲裁","同周期 8 DTLB entry ready，观察出队顺序","Directed","Testcase","l2tlb_reqq_cg","mmu_arb_sva.a_ffr","lsu_pipe01_concurrent_seq","FFR order matches priority","P0","mmu/rtl/mmu_l2tlb_reqq.sv L100","TLB Design Spec","Planned"
REQ-3.0,"L2 TLB 正确完成 Sv39 地址快速转换与 RRPV 替换管理",F3.2,"ReqQ 仲裁与出队",TC-L2TLB-006,"test_mmu_rand_l2tlb_reqq_queue_depth_varied","Random 测试 ReqQ 队列深度 0-9 各种状态","验证 ReqQ random behaviors 正确","随机生成 hit/miss/aging，覆盖所有深度","Constrained-Random","Testcase + Covergroup","l2tlb_reqq_cg","mmu_l2tlb_sva","mmu_concurrent_3pipe_vseq","no deadlock; coverage 100%","P1","mmu/rtl/mmu_l2tlb_reqq.sv","TLB Verification Plan","Planned"
REQ-3.0,"L2 TLB 正确完成 Sv39 地址快速转换与 RRPV 替换管理",F3.3,"Credit 管理与背压",TC-L2TLB-007,"test_mmu_dir_l2tlb_reqq_credit_return_hit","L2 TLB hit 时立即返回 miss 的 credit","验证 hit 返回 credit","构造特定 VPN 命中，观察 credit","Directed","Testcase","l2tlb_reqq_cg","mmu_l2tlb_sva.a_credit_return","ifu_base_seq","credit_return = 1 on hit","P0","mmu/rtl/mmu_l2tlb_reqq.sv L130","TLB Design","Planned"
REQ-3.0,"L2 TLB 正确完成 Sv39 地址快速转换与 RRPV 替换管理",F3.3,"Credit 管理与背压",TC-L2TLB-008,"test_mmu_dir_l2tlb_reqq_credit_return_refill","PTW refill 完成时返回 miss 的 credit","验证 refill 返回 credit","等待 PTW 返回 refill，观察 credit 回","Directed","Testcase","l2tlb_reqq_cg","mmu_l2tlb_sva.a_credit_refill","mmu_ptw_thrash_vseq","credit_return = 1 on ptw_done","P0","mmu/rtl/mmu_l2tlb_reqq.sv L135","TLB Design","Planned"
