requirement_id,requirement_family,audit_id,flow_id,legacy_id,test_name,scenario_id,source_checker,sva_cover,consumer_evidence,status,action,illegal_stimulus,waiver_or_open_reason,notes
PTW-AUD-011,AUDIT,PTW-AUD-011,,M-mode/direct-map tests,test_ptw_mprv_mpp_m_effective_mode_001,PTW-SCN-MPRV-MPP,ptw_source_sb context/effective-mode compare,PTW-SVA-PMP-007;PTW-SVA-CTX-006;PTW-SVA-REQ-006,L1 direct-map tests consumer-only,open,add,no,stage0 mapping only,fetch ignores MPRV
PTW-AUD-012,AUDIT,PTW-AUD-012,,PTW-016;test_pte_rw_both_zero,test_ptw_nonleaf_rule_by_level_001,PTW-SCN-NONLEAF-PF,ptw_source_sb raw PTE level fault compare,PTW-SVA-CHK-001;PTW-SVA-CHK-002;PTW-SVA-CHK-011,,open,modify,no,stage0 mapping only,do not apply extra Sv39 reserved rules
PTW-AUD-013,AUDIT,PTW-AUD-013,,PTE permission tests,test_ptw_leaf_access_perm_matrix_001;test_ptw_write_only_mxr_matrix_001;test_ptw_pfu_permission_matrix_001,PTW-SCN-LEAF-PERM,ptw_source_sb fault/refill formula compare,PTW-SVA-CHK-003;PTW-SVA-CHK-004;PTW-SVA-CHK-005;PTW-SVA-CHK-006;PTW-SVA-CHK-007,,open,split,no,stage0 mapping only,PFU does not require R/MXR/X/D
PTW-AUD-014,AUDIT,PTW-AUD-014,,test_pte_misaligned_ppn_1g;test_pte_misaligned_ppn_2m,test_ptw_huge_align_before_degrade_001,PTW-SCN-HUGE-ALIGN,ptw_source_sb page fault no-degrade compare,PTW-SVA-CHK-008;PTW-SVA-MAEE-008,,open,modify,no,stage0 mapping only,huge align fault precedes sysmap/degrade
PTW-AUD-015,AUDIT,PTW-AUD-015,,TC-PMBUF-*;test_mbuf_ooo_response,test_ptw_mbuf_entry_alloc_priority_001,PTW-SCN-MBUF-ALLOC,ptw_source_monitor mbuf event,PTW-SVA-MBUF-001;PTW-SVA-MBUF-003;PTW-SVA-MBUF-004;PTW-SVA-MBUF-005,,open,modify/delete-old-expected,no,stage0 mapping only,PTW memory OOO is illegal stimulus
PTW-AUD-016,AUDIT,PTW-AUD-016,,test_bus_error_terminate;mbuf ready tests,test_ptw_mbuf_chk_not_ready_hold_001;test_ptw_lsu_bus_error_priority_001,PTW-SCN-MBUF-BUSERR,ptw_source_sb bus-error/no-CHK compare,PTW-SVA-MBUF-006;PTW-SVA-MBUF-007;PTW-SVA-MBUF-008;PTW-SVA-MBUF-009,,open,modify,no,stage0 mapping only,bus error is access fault not page fault
PTW-AUD-017,AUDIT,PTW-AUD-017,,test_sfence_abort_walk;tlbop abort tests,test_ptw_abort_lsu_outstanding_matrix_001,PTW-SCN-ABORT-MATRIX,ptw_source_sb drop/no-stale-output compare,PTW-SVA-MBUF-010;PTW-SVA-MBUF-011;PTW-SVA-MBUF-012;PTW-SVA-ARB-003;PTW-SVA-CTX-004;PTW-SVA-CTX-005,,open,split,no,stage0 mapping only,abort same-cycle new bus error is dropped
PTW-AUD-018,AUDIT,PTW-AUD-018,,MAEE direct tests,test_ptw_maee1_ext_attr_all_sizes_001,PTW-SCN-MAEE1,ptw_source_sb refill flg compare,PTW-SVA-MAEE-001;PTW-SVA-MAEE-003,,open,modify,no,stage0 mapping only,MAEE1 all page sizes use raw PTE attr
PTW-AUD-019,AUDIT,PTW-AUD-019,,MAEE/sysmap tests,test_ptw_maee0_4k_sysmap_refill_001,PTW-SCN-MAEE0-4K,ptw_source_sb THD 4K sysmap compare,PTW-SVA-MAEE-002;PTW-SVA-MAEE-004,,open,add,no,stage0 mapping only,MAEE0 4K also queries sysmap
PTW-AUD-020,AUDIT,PTW-AUD-020,,phase13 sysmap degrade tests,test_ptw_maee0_1g_degrade_matrix_001;test_ptw_maee0_2m_degrade_matrix_001;test_ptw_sysmap_flag_order_default_001,PTW-SCN-MAEE0-DEGRADE,ptw_source_sb final PPN/page_size/flg compare,PTW-SVA-MAEE-004;PTW-SVA-MAEE-005;PTW-SVA-MAEE-006;PTW-SVA-MAEE-007,,open,modify,no,stage0 mapping only,system direct-map sysmap tests are not PTW source closure
PTW-AUD-021,AUDIT,PTW-AUD-021,,hot-switch/stress tests,test_ptw_context_sampling_points_001,PTW-SCN-CONTEXT-SAMPLE,ptw_source_ref_model context sample transaction,PTW-SVA-ARB-009;PTW-SVA-CTX-006,,open,add,no,stage0 mapping only,cycle ordering must be represented
PTW-AUD-022,AUDIT,PTW-AUD-022,,N/A,test_ptw_full_flow_trace_001..023,PTW-SCN-FLOW-001..023,ptw_source_sb full flow match/drop,PTW-SVA-FLOW-COVER,L1/L2 end-to-end auxiliary,open,add,no,stage0 mapping only,all 23 flows need source evidence
PTW-AUD-023,AUDIT,PTW-AUD-023,,L1DTLB tests,test_ptw_l1dtlb_consumer_trace_001,PTW-SCN-CONSUMER,ptw_source_sb remains required for source rules,L1D-SVA-PTW-001;L1D-SVA-PTW-004,L1DTLB/L2TLB consumer evidence,consumer-only,retain-as-auxiliary,no,consumer-only evidence cannot close source-side,do not replace PTW source closure
PTW-ADD-001,ADD,PTW-AUD-001,,test_pte_reserved_bits,test_ptw_p0_pte_layout_matrix,stage6_pte_rsw_high_reserved_4k,ptw_source_sb flg compare,PTW-SVA-CHK-009;PTW-SVA-ARB-008,,stage6-closed,obsolete-old-and-stage6-directed,no,stage6 P0 source-SB plus SVA cover required,RSW no fault and enters flg
PTW-ADD-002,ADD,PTW-AUD-001,,test_pte_reserved_bits,test_ptw_p0_pte_layout_matrix,stage6_pte_rsw_high_reserved_4k,ptw_source_sb no-fault compare,PTW-SVA-CHK-009,,stage6-closed,obsolete-old-and-stage6-directed,no,stage6 P0 source-SB plus SVA cover required,high reserved ignored
PTW-ADD-003,ADD,PTW-AUD-002,,test_pte_global_bit_asid,test_ptw_p0_pte_layout_matrix,stage6_pte_leaf_global_1g;stage6_pte_nonleaf_global_not_or,ptw_source_sb global/tag compare,PTW-SVA-CHK-010;PTW-SVA-ARB-008,,stage6-closed,stage6-directed,no,stage6 P0 source-SB plus SVA cover required,G leaf-only and not in data flg
PTW-ADD-004,ADD,PTW-AUD-003,,success smokes,test_ptw_p0_type_pfu_fault_matrix,stage6_type_fetch_success;stage6_type_load_success;stage6_type_store_success;stage6_type_pfu_success_l2_only,ptw_source_sb target compare,PTW-SVA-ARB-005;PTW-SVA-ARB-007,L1 target auxiliary,stage6-closed,stage6-directed,no,stage6 P0 source-SB plus SVA cover required,success target by original type
PTW-ADD-005,ADD,PTW-AUD-004,,fault smokes,test_ptw_p0_type_pfu_fault_matrix,stage6_fault_fetch_no_x;stage6_fault_load_no_r;stage6_fault_store_no_w;stage6_fault_pfu_a_zero;stage6_pmp_original_fetch_x_deny,ptw_source_sb fault target compare,PTW-SVA-ARB-006,L1 fault auxiliary,stage6-closed,stage6-directed,no,stage6 P0 source-SB plus SVA cover required,fault target by original type
PTW-ADD-006,ADD,PTW-AUD-004,,arb/fault tests,test_ptw_p0_pde_mbuf_pmp_matrix,stage6_lsu_bus_error_priority_access_fault,ptw_source_sb key/class compare,PTW-SVA-ARB-001;PTW-SVA-ARB-002,,stage6-closed,stage6-directed,no,stage6 P0 source-SB plus SVA cover required,bus error visible access fault by type/id
PTW-ADD-007,ADD,PTW-AUD-005,,PDE tests,test_ptw_p0_pde_mbuf_pmp_matrix,stage6_pde_l1_hit_final_2m;stage6_pde_l2_hit_final_4k,ptw_source_monitor pde event,PTW-SVA-PDE-003;PTW-SVA-PDE-004;PTW-SVA-PDE-005,,stage6-partial-open,stage6-directed-and-open,no,raw double-hit injection remains Stage 7,PDE hit paths covered and double-hit open
PTW-ADD-008,ADD,PTW-AUD-006,,PDE timing tests,test_ptw_p0_pde_mbuf_pmp_matrix,stage6_pde_lookup_update_same_cycle_race,ptw_source_monitor pde event,PTW-SVA-PDE-008,,open-stage7-model-gap,open,no,lookup/update old-state precision assigned to Stage 7,lookup sees old state
PTW-ADD-009,ADD,PTW-AUD-006,,PDE update tests,test_ptw_p0_pde_mbuf_pmp_matrix,stage6_pde_l1_hit_final_2m;stage6_pde_l2_hit_final_4k,ptw_source_monitor pde update,PTW-SVA-PDE-006;PTW-SVA-PDE-007,,stage6-closed,stage6-directed,no,stage6 P0 source-SB plus SVA cover required,nonleaf update representative
PTW-ADD-010,ADD,PTW-AUD-007,,satp/PMP tests,test_ptw_p0_pde_mbuf_pmp_matrix;test_ptw_pde_satp_old_walk_reupdate_001;test_ptw_pmp_cfg_clear_no_flush_001,stage6_pde_satp_pmp_clear_only_reupdate;stage7_satp_old_walk_reupdate;stage7_pmp_cfg_clear_no_flush,ptw_source_monitor pde clear/reupdate plus ptw_source_sb no-drop refill match,PTW-SVA-PDE-001;PTW-SVA-PDE-010,,stage7-partial-open,stage7-directed-and-open,no,pmp_regs_update DUT/top probe remains tied off so PMP clear evidence stays TB gap; satp old-walk re-update covered,satp/PMP clear-only no in-flight flush
PTW-ADD-011,ADD,PTW-AUD-007,,reset/abort tests,test_ptw_p0_pde_mbuf_pmp_matrix,stage6_abort_full_matrix,ptw_source_sb drop compare,PTW-SVA-PDE-001;PTW-SVA-PDE-002;PTW-SVA-CTX-003,,stage6-partial-open,stage6-sva-and-open,no,full abort/drop matrix remains Stage 7,reset/abort flush SVA exists
PTW-ADD-012,ADD,PTW-AUD-008,,XBAR-001;XBAR-002;test_xbar_twu_round_robin,test_ptw_p0_flow_trace_umbrella,stage6_flow_umbrella_smoke,ptw_source_monitor request accept,PTW-SVA-REQ-001;PTW-SVA-XBAR-001;PTW-SVA-XBAR-002,,stage6-closed,obsolete-old-and-stage6-directed,no,old round-robin expected obsolete-by-spec,hash/ready not round-robin
PTW-ADD-013,ADD,PTW-AUD-009,,PMP deny tests,test_ptw_p0_pde_mbuf_pmp_matrix,stage6_pmp_fst_deny_access_fault,ptw_source_sb access fault no-side-effect,PTW-SVA-PMP-003;PTW-SVA-PMP-004;PTW-SVA-PMP-008,,stage6-partial-open,stage6-directed-and-open,no,isolated scd/thd deny vectors remain Stage 7,fst deny covered
PTW-ADD-014,ADD,PTW-AUD-010,,PMP type tests,test_ptw_p0_type_pfu_fault_matrix,stage6_pmp_original_fetch_x_deny;stage6_pmp_original_load_r_allow,ptw_source_sb pmp permission compare,PTW-SVA-PMP-005;PTW-SVA-PMP-006,,stage6-closed,stage6-directed,no,stage6 P0 source-SB plus SVA cover required,original request type permission
PTW-ADD-015,ADD,PTW-AUD-011,,MPRV/PMP tests,test_ptw_p0_pde_mbuf_pmp_matrix,stage6_mprv_mpp_m_load_success,ptw_source_sb context compare,PTW-SVA-PMP-007,,stage6-closed,stage6-directed,no,stage6 P0 source-SB plus SVA cover required,load uses MPP when MPRV; PFU MPP=M direct-map is consumer-only if no PTW walk
PTW-ADD-016,ADD,PTW-AUD-012,,test_pte_rw_both_zero,test_ptw_p0_permission_matrix;test_ptw_random_pte_perm_cross_001,stage6_scd_page_fault_v0;stage6_thd_nonleaf_page_fault;stage7_random_pte_perm_cross,ptw_source_sb pte fault compare plus field coverage,PTW-SVA-CHK-001;PTW-SVA-CHK-002;PTW-SVA-CHK-011,,stage7-random-strengthened-open,stage6-directed-plus-stage7-random,no,malformed nonleaf matrix remains open; random cross adds legal level and field evidence,nonleaf by level representatives
PTW-ADD-017,ADD,PTW-AUD-013,,PTE perm tests,test_ptw_p0_permission_matrix;test_ptw_random_pte_perm_cross_001,stage6_write_only_mxr0_fault;stage6_write_only_mxr1_success;stage7_random_pte_perm_cross,ptw_source_sb pte fault compare plus field coverage,PTW-SVA-CHK-001;PTW-SVA-CHK-003;PTW-SVA-CHK-004;PTW-SVA-CHK-005,,stage7-strengthened,stage6-directed-plus-stage7-random,no,stage6 P0 source-SB plus SVA cover required; stage7 random cross adds MXR/type/level bins,write-only rule uses MXR
PTW-ADD-018,ADD,PTW-AUD-013,,PTE perm tests,test_ptw_p0_type_pfu_fault_matrix;test_ptw_p0_permission_matrix;test_ptw_random_pte_perm_cross_001,stage6_fault_fetch_no_x;stage6_fault_load_no_r;stage6_fault_store_no_w;stage6_write_only_mxr0_fault;stage7_random_pte_perm_cross,ptw_source_sb pte fault compare plus field coverage,PTW-SVA-CHK-003;PTW-SVA-CHK-004;PTW-SVA-CHK-005;PTW-SVA-CHK-006,,stage7-strengthened,stage6-directed-plus-stage7-random,no,stage6 P0 source-SB plus SVA cover required; stage7 random cross adds fetch/load/store/PFU bins,fetch/load/store/PFU formulas
PTW-ADD-019,ADD,PTW-AUD-013,,PTE U/S tests,test_ptw_p0_permission_matrix;test_ptw_random_pte_perm_cross_001,stage6_store_d_zero_fault;stage6_supervisor_u_sum0_fault;stage6_user_supervisor_leaf_fault;stage7_random_pte_perm_cross,ptw_source_sb pte fault compare plus field coverage,PTW-SVA-CHK-007,,stage7-strengthened,stage6-directed-plus-stage7-random,no,stage6 P0 source-SB plus SVA cover required; stage7 random cross adds A/D/U/S/SUM bins,A/D/U/S/SUM/effective mode
PTW-ADD-020,ADD,PTW-AUD-014,,misaligned PPN tests,test_ptw_p0_permission_matrix,stage6_huge_1g_align_before_degrade,ptw_source_sb fault/drop lower path compare,PTW-SVA-CHK-008;PTW-SVA-MAEE-008,,stage6-closed,stage6-directed,no,stage6 P0 source-SB plus SVA cover required,alignment before sysmap/degrade
PTW-ADD-021,ADD,PTW-AUD-015,,PMBUF alloc tests,test_ptw_p0_pde_mbuf_pmp_matrix,stage6_mbuf_chk_not_ready_hold,ptw_source_monitor mbuf allocation,PTW-SVA-MBUF-001,,stage6-closed,stage6-sva-directed,no,stage6 P0 source-SB plus SVA cover required,entry allocation cover plus directed traffic
PTW-ADD-022,ADD,PTW-AUD-016,,mbuf ready tests,test_ptw_p0_pde_mbuf_pmp_matrix,stage6_mbuf_chk_not_ready_hold,ptw_source_monitor mbuf get/hold,PTW-SVA-MBUF-006;PTW-SVA-MBUF-007,,stage6-closed,stage6-directed,no,stage6 P0 source-SB plus SVA cover required,CHK not-ready hold
PTW-ADD-023,ADD,PTW-AUD-016,,bus error tests,test_ptw_p0_pde_mbuf_pmp_matrix,stage6_lsu_bus_error_priority_access_fault,ptw_source_sb access fault no-side-effect,PTW-SVA-MBUF-008;PTW-SVA-MBUF-009;PTW-SVA-ARB-002,,stage6-closed,stage6-directed,no,stage6 P0 source-SB plus SVA cover required,bus error no CHK/PDE/refill
PTW-ADD-024,ADD,PTW-AUD-017,,abort tests,test_ptw_p0_pde_mbuf_pmp_matrix,stage6_abort_full_matrix,ptw_source_sb drop/no-stale compare with auxiliary pre-existing grant handling,PTW-SVA-MBUF-010;PTW-SVA-MBUF-011;PTW-SVA-MBUF-012;PTW-SVA-CTX-004;PTW-SVA-CTX-005,,stage7-model-strengthened-open,stage7-ref-sb-and-open,no,Stage7 ignores pre-existing exception grant as auxiliary but full abort data and bus-error directed matrix remains open,abort full matrix
PTW-ADD-025,ADD,PTW-AUD-018,,MAEE direct tests,test_ptw_p0_maee_sysmap_matrix,stage6_maee1_1g_ext_attr;stage6_maee1_2m_ext_attr;stage6_maee1_4k_ext_attr,ptw_source_sb flg compare,PTW-SVA-MAEE-001,,stage6-closed,stage6-directed,no,stage6 P0 source-SB plus SVA cover required,MAEE1 raw attr all sizes
PTW-ADD-026,ADD,PTW-AUD-019,,MAEE/sysmap tests,test_ptw_p0_maee_sysmap_matrix;test_ptw_maee_mid_sysmap_change_001,stage6_maee0_4k_sysmap_refill;stage7_maee_mid_sysmap_change,ptw_source_sb flg compare plus Stage7 MAEE no-rollback model,PTW-SVA-MAEE-002;PTW-SVA-MAEE-004,,stage7-strengthened,stage6-directed-plus-stage7-context,no,stage6 P0 source-SB plus SVA cover required; stage7 proves MAEE later change does not alter captured sysmap path,THD 4K sysmap
PTW-ADD-027,ADD,PTW-AUD-020,,phase13 1G degrade tests,test_ptw_p0_maee_sysmap_matrix;test_ptw_random_pte_perm_cross_001,stage6_maee0_huge_degrade_matrix;stage7_random_pte_perm_cross_no_cross_1g,ptw_source_sb page_size/PPN/flg compare with Stage7 ref_model degrade support,PTW-SVA-MAEE-005;PTW-SVA-MAEE-006;PTW-SVA-MAEE-007,,stage7-model-ready-open,stage7-ref-model-and-open,no,Stage7 ref_model supports MAEE0 1G no-cross and degrade PPN/page_size/flg; dedicated 1G cross/degrade directed evidence remains open,1G no-cross/to-2M/to-4K
PTW-ADD-028,ADD,PTW-AUD-020,,phase13 2M degrade tests,test_ptw_p0_maee_sysmap_matrix;test_ptw_random_pte_perm_cross_001,stage6_maee0_huge_degrade_matrix;stage7_random_pte_perm_cross_no_cross_2m,ptw_source_sb page_size/PPN/flg compare with Stage7 ref_model degrade support,PTW-SVA-MAEE-005;PTW-SVA-MAEE-006;PTW-SVA-MAEE-007,,stage7-model-ready-open,stage7-ref-model-and-open,no,Stage7 ref_model supports MAEE0 2M no-cross and degrade PPN/page_size/flg; dedicated 2M cross/degrade directed evidence remains open,2M no-cross/to-4K
PTW-ADD-029,ADD,PTW-AUD-020,,sysmap flag/default tests,test_ptw_p0_maee_sysmap_matrix;test_ptw_maee_mid_sysmap_change_001;test_ptw_p2_illegal_constraint_matrix,stage6_maee0_4k_sysmap_refill;stage6_sysmap_default_malformed_constraints;stage7_sysmap_malformed_constraint,ptw_source_sb flg compare plus illegal constraint marker,PTW-SVA-MAEE-004,,stage7-constraint-partial,stage6-directed-plus-stage7-p2,no,malformed/no-hit/multi-hit are classified as illegal stimulus and constrained out; functional 4K sysmap flag order remains from P0,4K sysmap flag order closed and malformed constraints tagged
PTW-ADD-030,ADD,PTW-AUD-021,,context tests,test_ptw_p0_flow_trace_umbrella;test_ptw_asid_refill_current_sample_001;test_ptw_maee_mid_sysmap_change_001,stage6_context_sampling_points;stage7_asid_refill_current_sample;stage7_maee_mid_sysmap_change,ptw_source_ref_model context transaction plus current-ASID refill and MAEE no-rollback,PTW-SVA-ARB-009;PTW-SVA-CTX-006,,stage7-partial-closed,stage7-directed-and-open,no,ASID refill and MAEE sysmap usage-point sampling covered; MXR/SUM same-cycle CHK precision remains best-effort model evidence,usage-point sampling
PTW-ADD-031,ADD,PTW-AUD-022,,N/A,test_ptw_p0_flow_trace_umbrella,stage6_flow_trace_umbrella,ptw_source_sb full flow match/drop,PTW-SVA-FLOW-COVER,L1/L2 auxiliary,stage6-closed-binding,stage6-directed,no,all flows have directed binding or open reason,all chapter 12 flows
PTW-ADD-032,ADD,PTW-AUD-023,,L1DTLB tests,test_ptw_l1dtlb_consumer_trace_001,PTW-SCN-L1D-CONSUMER,source target compare still required,L1D-SVA-PTW-001;L1D-SVA-PTW-004,L1DTLB consumer-only,consumer-only,retain-as-auxiliary,no,consumer-only,does not replace source closure
PTW-ADD-033,ADD,PTW-AUD-013,,PFU tests,test_ptw_p0_type_pfu_fault_matrix;test_ptw_random_pte_perm_cross_001,stage6_type_pfu_success_l2_only;stage6_fault_pfu_a_zero;stage7_random_perm_pfu,ptw_source_sb PFU page-fault formula plus field coverage,PTW-SVA-CHK-006,,stage7-strengthened,stage6-directed-plus-stage7-random,no,stage6 P0 source-SB plus SVA cover required; stage7 random cross adds PFU permission bin,PFU no R/MXR/X/D requirement
PTW-ADD-034,ADD,PTW-AUD-001,,flg layout tests,test_ptw_p0_pte_layout_matrix;test_ptw_p0_maee_sysmap_matrix,stage6_pte_rsw_high_reserved_4k;stage6_pte_leaf_global_1g;stage6_maee1_4k_ext_attr,ptw_source_sb tag/data bit compare,PTW-SVA-ARB-008,,stage6-closed,stage6-directed,no,stage6 P0 source-SB plus SVA cover required,bit exact flg/global/page_size/ppn
PTW-ADD-035,ADD,PTW-AUD-003,,random constraints,test_ptw_same_id_no_reuse_constraint_001;test_ptw_p2_illegal_constraint_matrix,PTW-SCN-ID-NO-REUSE;stage7_same_id_reuse_constraint,constraint/illegal checker,PTW-SVA-REQ-004,,stage7-constraint-closed,stage7-p2,yes,PTW_STAGE7_ILLEGAL blocked_by_constraint marker required,normal UVM must not reuse outstanding key
PTW-ADD-036,ADD,PTW-AUD-011,,mode constraints,test_ptw_bare_mode_no_request_constraint_001;test_ptw_p2_illegal_constraint_matrix,PTW-SCN-BARE-M-NO-REQ;stage7_bare_m_constraint,constraint/illegal checker,PTW-SVA-REQ-006,,stage7-constraint-closed,stage7-p2,yes,PTW_STAGE7_ILLEGAL blocked_by_constraint marker required,Bare and pure M no-request constrained away
PTW-FLOW-001,FLOW,PTW-AUD-022,PTW-FLOW-001,,test_ptw_p0_pte_layout_matrix;test_ptw_p0_maee_sysmap_matrix,stage6_pte_leaf_global_1g;stage6_maee1_1g_ext_attr,ptw_source_sb refill match,PTW-SVA-CHK/PMP/ARB cover,,stage6-closed,stage6-directed,no,stage6 P0 source-SB plus SVA cover required,PDE miss 1G success
PTW-FLOW-002,FLOW,PTW-AUD-022,PTW-FLOW-002,,test_ptw_p0_maee_sysmap_matrix,stage6_maee1_2m_ext_attr,ptw_source_sb refill match,PTW-SVA-PDE/CHK/ARB cover,,stage6-closed,stage6-directed,no,stage6 P0 source-SB plus SVA cover required,PDE miss 2M success
PTW-FLOW-003,FLOW,PTW-AUD-022,PTW-FLOW-003,,test_ptw_p0_pte_layout_matrix;test_ptw_p0_type_pfu_fault_matrix,stage6_pte_rsw_high_reserved_4k;stage6_type_load_success,ptw_source_sb refill match,PTW-SVA-PDE/CHK/ARB cover,,stage6-closed,stage6-directed,no,stage6 P0 source-SB plus SVA cover required,PDE miss 4K success
PTW-FLOW-004,FLOW,PTW-AUD-022,PTW-FLOW-004,,test_ptw_p0_maee_sysmap_matrix,stage6_maee0_huge_degrade_matrix,ptw_source_sb degrade match with Stage7 ref_model support,PTW-SVA-MAEE-005;PTW-SVA-MAEE-007,,stage7-model-ready-open,stage7-ref-model-and-open,no,dedicated 1G->2M directed evidence still required; model now computes final PPN/page_size/flg,MAEE0 1G to 2M
PTW-FLOW-005,FLOW,PTW-AUD-022,PTW-FLOW-005,,test_ptw_p0_maee_sysmap_matrix,stage6_maee0_huge_degrade_matrix,ptw_source_sb degrade match with Stage7 ref_model support,PTW-SVA-MAEE-005;PTW-SVA-MAEE-007,,stage7-model-ready-open,stage7-ref-model-and-open,no,dedicated 1G->4K directed evidence still required; model now computes final PPN/page_size/flg,MAEE0 1G to 4K
PTW-FLOW-006,FLOW,PTW-AUD-022,PTW-FLOW-006,,test_ptw_p0_maee_sysmap_matrix,stage6_maee0_huge_degrade_matrix,ptw_source_sb degrade match with Stage7 ref_model support,PTW-SVA-MAEE-005;PTW-SVA-MAEE-007,,stage7-model-ready-open,stage7-ref-model-and-open,no,dedicated 2M->4K directed evidence still required; model now computes final PPN/page_size/flg,MAEE0 2M to 4K
PTW-FLOW-007,FLOW,PTW-AUD-022,PTW-FLOW-007,,test_ptw_p0_maee_sysmap_matrix;test_ptw_random_pte_perm_cross_001,stage6_maee0_huge_degrade_matrix;stage7_random_pte_perm_cross_no_cross_huge,ptw_source_sb no-degrade match with Stage7 ref_model support,PTW-SVA-MAEE-006,,stage7-partial-closed,stage7-ref-model-plus-random,no,1G/2M no-cross model and random evidence added; dedicated no-cross directed matrix still recommended,MAEE0 huge no degrade
PTW-FLOW-008,FLOW,PTW-AUD-022,PTW-FLOW-008,,test_ptw_p0_maee_sysmap_matrix,stage6_maee0_4k_sysmap_refill,ptw_source_sb 4K sysmap match,PTW-SVA-MAEE-002;PTW-SVA-MAEE-004,,stage6-closed,stage6-directed,no,stage6 P0 source-SB plus SVA cover required,MAEE0 4K sysmap refill
PTW-FLOW-009,FLOW,PTW-AUD-022,PTW-FLOW-009,,test_ptw_p0_pde_mbuf_pmp_matrix,stage6_pmp_fst_deny_access_fault,ptw_source_sb access fault match,PTW-SVA-PMP-004,,stage6-closed,stage6-directed,no,stage6 P0 source-SB plus SVA cover required,fst PMP access fault
